板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,神州数码集团股份有限公司,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,34,神州数码,1994/5/9,659539627,497403624,华南,广东,深圳市,批发零售
主板,中国天楹股份有限公司,江苏省海安市黄海大道(西)268号2幢,35,中国天楹,1994/4/8,2523777297,2453345376,华东,江苏,南通市,公共环保
主板,华联控股股份有限公司,广东省深圳市深南中路2008号华联大厦11层(1103-1109室),36,华联控股,1994/6/17,1483934025,1479474430,华南,广东,深圳市,房地产
主板,深圳南山热电股份有限公司,广东省深圳市南山区月亮湾大道2097号,37,深南电A,1994/7/1,338908150,338894011,华南,广东,深圳市,水电煤气
主板,深圳大通实业股份有限公司,广东省深圳市南山区科苑中路15号科兴科学园B2栋302室,38,深大通,1994/8/8,522777419,238177966,华南,广东,深圳市,商务服务
主板,中国国际海运集装箱(集团)股份有限公司,广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼,39,中集集团,1994/4/8,1535121660,1534271428,华南,广东,深圳市,制造业
主板,东旭蓝天新能源股份有限公司,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,40,东旭蓝天,1994/8/8,1486873870,1060340670,华南,广东,深圳市,水电煤气
主板,深圳市中洲投资控股股份有限公司,广东省深圳市福田区金田路3088号中洲大厦38楼,42,中洲控股,1994/9/21,664831139,662103039,华南,广东,深圳市,房地产
主板,深圳市纺织(集团)股份有限公司,广东省深圳市福田区华强北路3号深纺大厦6楼,45,深纺织Ａ,1994/8/15,458272279,457017874,华南,广东,深圳市,制造业
主板,泛海控股股份有限公司,北京市东城区建国门内大街28号民生金融中心C座22层,46,泛海控股,1994/9/12,5196200656,5193833956,华北,北京,北京市,金融业
主板,深圳市京基智农时代股份有限公司,广东省深圳市罗湖区深南东路5016号京基一百大厦A座71层7101,48,京基智农,1994/11/1,402491731,402407651,华南,广东,深圳市,制造业
主板,深圳市德赛电池科技股份有限公司,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼,49,德赛电池,1995/3/20,207197738,205243738,华南,广东,深圳市,制造业
主板,天马微电子股份有限公司,广东省深圳市龙华区民治街道北站社区留仙大道天马大厦1918,50,深天马Ａ,1995/3/15,2457747661,1828920459,华南,广东,深圳市,制造业
主板,方大集团股份有限公司,广东省深圳市南山区高新技术产业园南区科技南十二路方大科技大厦,55,方大集团,1996/4/15,679715472,677413379,华南,广东,深圳市,制造业
主板,深圳市皇庭国际企业股份有限公司,广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,56,皇庭国际,1996/7/8,931293708,903728783,华南,广东,深圳市,商务服务
主板,深圳赛格股份有限公司,广东省深圳市福田区华强北路群星广场A座三十一楼,58,深 赛 格,1996/12/26,989194931,538282117,华南,广东,深圳市,商务服务
主板,北方华锦化学工业股份有限公司,辽宁省盘锦市双台子区红旗大街,59,华锦股份,1997/1/30,1599442537,1599409531,东北,辽宁,盘锦市,制造业
主板,深圳市中金岭南有色金属股份有限公司,广东省深圳市罗湖区清水河街道清水河一路深业进元大厦塔楼2座303C房,60,中金岭南,1997/1/23,3569685327,3568385943,华南,广东,深圳市,制造业
主板,深圳市农产品集团股份有限公司,广东省深圳市罗湖区布吉路1019号农产品批发市场第一层,61,农 产 品,1997/1/10,1696964131,1696600695,华南,广东,深圳市,商务服务
主板,深圳华强实业股份有限公司,广东省深圳市福田区华强北路华强广场A座5楼,62,深圳华强,1997/1/30,1045909322,1044553288,华南,广东,深圳市,批发零售
主板,中兴通讯股份有限公司,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,63,中兴通讯,1997/11/18,3857932364,3476253800,华南,广东,深圳市,制造业
主板,北方国际合作股份有限公司,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),65,北方国际,1998/6/5,769516228,673092642,华北,北京,北京市,建筑业
主板,中国长城科技集团股份有限公司,广东省深圳南山区科技工业园长城计算机大厦,66,中国长城,1997/6/26,2928182053,2927833543,华南,广东,深圳市,制造业
主板,深圳华控赛格股份有限公司,广东省深圳市大工业区兰竹大道以北CH3主厂房,68,华控赛格,1997/6/11,1006671464,1006668464,华南,广东,深圳市,科研服务
主板,深圳华侨城股份有限公司,广东省深圳市南山区华侨城,69,华侨城Ａ,1997/9/10,8201793915,7056298141,华南,广东,深圳市,房地产
主板,深圳市特发信息股份有限公司,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,70,特发信息,2000/5/11,816578166,795243815,华南,广东,深圳市,制造业
主板,深圳市海王生物工程股份有限公司,广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,78,海王生物,1998/12/18,2750833257,2621199543,华南,广东,深圳市,批发零售
